DeviceType,AveragePacketRate,TotalFailedLogins,SuccessfulLogins,FailedLoginRate,UniqueSourceIps,FailedToSuccessRatio,UniquePortsAccessed,ConnectionAttemptsPerSecond,AverageConnectionDurationMs,NewConnectionsPerSecond,TrafficVolumeBytes,OutgoingBytes,IncomingBytes,OutgoingIncomingRatio,AverageCpuUsage,TimeOfDay,AfterHoursActivity,Label
Workstation,279.91672311188336,77,0,1.2833333333333334,44,1,2,67,2030.792387311423,36,113660.6897847632,42742.567005149416,70918.1227796138,0.602703023287529,35.54559372351348,20,1,BruteForce
Workstation,160.91089311601627,2,7,0.03333333333333333,1,0.2857142857142857,21,25,444.78511503537436,2,51307.247555329086,11552.52810101549,39754.71945431359,0.29059513586284363,32.92157913421643,20,1,PortScan
Workstation,1951.9724504587305,0,6,0,914,0,3,812,528.4750689188223,542,1227325.7871145378,453378.43108637,773947.3560281679,0.5858000903486119,68.35341644483753,20,1,DDoS
Workstation,57.58603195628219,0,1,0,1,0,4,2,1073.2766190898515,4,46779.318353826435,31296.813154501357,15482.505199325076,2.021430818306179,20.152698369834354,20,1,Normal
Workstation,133.887430713501,3,4,0.05,1,0.75,3,1,1059.056869086346,4,55021.95690527484,33717.15718935315,21304.799715921687,1.582608503198242,15.267647231878813,20,1,Normal
Workstation,205.03088917909213,0,12,0,2,0,0,4,619.1755112659887,2,196647.01324404264,129148.12319322408,67498.89005081856,1.9133369911118694,16.025877425887302,20,1,Exfiltration
Workstation,66.18302196239189,0,8,0,1,0,1,0,615.1031352129684,0,199105.7210840162,90659.37178627063,108446.34929774556,0.8359836211485572,18.74512291898118,20,1,Normal
Workstation,61.56501397509215,0,4,0,1,0,0,3,1849.7581765629072,0,94535.55975122249,38804.31462310625,55731.24512811625,0.6962757522086939,8.030127597144915,20,1,Normal
Workstation,266.48997096862263,75,5,1.25,27,15,3,70,1460.5047648354848,34,49425.900079420986,18014.00141383759,31411.8986655834,0.5734770000889732,38.808965448988324,20,1,BruteForce
Workstation,1761.5425825962666,0,1,0,578,0,1,747,707.529641177837,499,990097.4090513843,369289.6386264264,620807.7704249579,0.5948534413054121,72.26605639379804,20,1,DDoS
Workstation,62.98990562186019,4,3,0.06666666666666667,1,1.3333333333333333,4,2,1293.8169954991145,2,65353.14712291355,28854.793426799304,36498.353696114245,0.7905779440641263,29.111261354951623,20,1,Normal
Workstation,222.12619842394597,18,1,0.3,35,18,0,29,1004.6199512148269,15,87717.76957253857,26805.675391153785,60912.09418138478,0.44007147925880724,34.02441231634431,20,1,BruteForce
Workstation,427.27955639199763,0,4,0,2,0,86,108,1191.8134672704045,1,162146.70017911264,92977.24972401255,69169.45045510009,1.3441952930414967,42.97766651769459,20,1,PortScan
Workstation,1877.2897845441237,2,4,0.03333333333333333,415,0.5,4,802,738.8157234115884,533,1273569.816133839,474231.836569801,799337.9795640381,0.5932807506887747,88.40266917422584,20,1,DDoS
Workstation,165.25067002586778,0,3,0,1,0,0,3,1936.95619233785,0,236896.40144465028,58501.45439825463,178394.94704639565,0.3279322389273728,15.649741942287871,20,1,Normal
Workstation,156.10558313123383,18,5,0.3,56,3.6,0,31,437.70470588131826,14,45241.78476063801,16809.937664003435,28431.84709663457,0.5912362150397608,36.18680528719246,20,1,BruteForce
Workstation,130.40540679105834,3,2,0.05,1,1.5,22,27,592.9869963165024,1,145316.29029969423,35726.07794865183,109590.21235104238,0.3259969771224922,41.07879658726849,20,1,PortScan
Workstation,1852.4264697173674,0,2,0,486,0,0,766,1206.77457845457,510,1080835.7337783056,395746.55042097013,685089.1833573354,0.577656982528292,84.15570018010926,20,1,DDoS
Workstation,131.80060822684425,0,8,0,2,0,4,0,203.43762489885125,0,77349.73918352737,16460.823593869904,60888.915589657474,0.27034187478066896,18.741501972240055,20,1,Normal
Workstation,313.104101642557,0,10,0,1,0,82,100,277.3125668795433,1,147914.41932661028,49203.45876006845,98710.96056654183,0.49845993269308747,27.58798581156092,20,1,PortScan
Workstation,1826.1314358243612,0,1,0,519,0,7,786,1091.0324055589385,524,1203666.4313472006,465033.3931209765,738633.038226224,0.6295865051443162,61.6618694490184,20,1,DDoS
Workstation,85.272317084244,0,3,0,1,0,4,0,1366.3067823972933,2,46656.27736424853,17857.287923800992,28798.98944044754,0.6200664770105032,6.846521714309759,20,1,Normal
Workstation,106.79657148683503,0,3,0,1,0,4,5,456.0745464566562,6,81955.58653780847,46098.787636369,35856.79890143946,1.285635891901058,15.504639054367596,20,1,Normal
Workstation,243.51425921586682,0,2,0,2,0,2,7,1415.547748701488,0,163856.24063590975,134582.19085160285,29274.049784306895,4.597320556711941,14.162638415832452,20,1,Exfiltration
Workstation,171.83824944207942,3,9,0.05,2,0.3333333333333333,1,4,921.896631084953,5,315737.89040400763,105693.29760318538,210044.59280082228,0.5031945654673935,14.161494222806198,20,1,Normal
Workstation,78.54791420533687,1,15,0.016666666666666666,3,0.06666666666666667,2,2,699.8090519198508,2,85400.80071722524,27171.728692438097,58229.07202478714,0.4666350973422957,21.534970616190385,20,1,Normal
Workstation,207.102755917463,77,1,1.2833333333333334,25,77,1,68,1848.903352683216,35,158661.45711939177,86543.49772949275,72117.95938989901,1.2000269899707423,36.26457679341246,20,1,BruteForce
Workstation,179.21087853127918,2,9,0.03333333333333333,1,0.2222222222222222,22,23,1162.5894382465829,0,168809.5330348097,79404.1910404547,89405.34199435498,0.8881369867749987,39.332071654906244,20,1,PortScan
Workstation,1404.3507198110271,1,4,0.016666666666666666,21,0.25,6,628,2056.400402254246,418,440819.0873567033,151576.9275010354,289242.1598556679,0.5240485259018686,34.7528843905005,20,1,DDoS
Workstation,205.3181448445173,24,3,0.4,82,8,1,34,968.6275397873209,17,143387.08453023704,35223.96983120958,108163.11469902747,0.3256560235827444,38.08896425415833,20,1,BruteForce
Workstation,353.01633860781874,4,8,0.06666666666666667,2,0.5,85,107,457.59599195175383,2,147814.12011545635,60686.3812236847,87127.73889177163,0.6965219342954387,32.82085305876282,20,1,PortScan
Workstation,1429.0938500247662,0,9,0,30,0,3,637,778.923750128047,423,482521.8745511662,166682.5114153345,315839.3631358317,0.5277445780045157,37.6420257102796,20,1,DDoS
Workstation,151.77724430403686,0,11,0,2,0,3,2,927.8060689399524,2,49504.087087600456,25929.923794465187,23574.16329313527,1.0999297609012453,25.044684089298368,20,1,Normal
Workstation,212.28259337976382,23,1,0.38333333333333336,71,23,5,30,1048.8194745774215,14,192017.7404279267,71716.5325801676,120301.20784775911,0.5961414175568769,40.324054867805216,20,1,BruteForce
Workstation,376.42037598783355,1,7,0.016666666666666666,2,0.14285714285714285,80,97,950.5286059574626,2,83154.4299529923,33547.578069818825,49606.85188317348,0.676269039382402,19.42243904249091,20,1,PortScan
Workstation,1931.8101806660159,2,4,0.03333333333333333,548,0.5,1,809,783.363834938068,542,1249431.8154194248,455562.9448835702,793868.8705358546,0.573851629395758,82.75430192257544,20,1,DDoS
Workstation,166.4065710831314,1,6,0.016666666666666666,1,0.16666666666666666,0,3,504.2062043752783,2,69887.26834550186,31047.738258766156,38839.5300867357,0.7993850128832902,26.705467025624056,20,1,Normal
